"symbol__gene_id","gene_id","module_color","module","A68ShootFlight","A68ShootFlight1","A68ShootFlight2","A68ShootFlight3","A68ShootGround","A68ShootGround1","A68ShootGround2","A68ShootGround3","D130ShootFlight","D130ShootFlight1","D130ShootFlight2","D130ShootFlight3","D130ShootGround","D130ShootGround1","D130ShootGround2","D130ShootGround3","WTShootFlight","WTShootFlight1","WTShootFlight2","WTShootFlight3","WTShootGround","WTShootGround1","WTShootGround2","WTShootGround3","band","chromosome_name","start_position","percentage_gc_content","transcript_count","gene_biotype","description","entrezgene_id","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons","symbol","set"
"NA__GOHIR.A05G077400","GOHIR.A05G077400","turquoise","1",5.86598862771482,6.81829774218128,4.45572797148468,6.26798514776773,5.75086547982134,7.39534411316845,3.4276825686727,5.69676336864222,5.97709432731165,6.39540785505867,3.8565437518839,7.96189400389746,5.02796780519463,4.89158776264781,7.59448026858673,5.10749186212175,2,3.11175116310498,4.63694837679835,7.01721073489431,6.41009032337063,5.81577713494258,4.55493211186744,5.38090546125116,NA,"A05",7466677,NA,1,"protein_coding","kinesin family member 15 (KIF15)",NA,9532,4113,9532,218,425,22,NA,"List"
"NA__GOHIR.A05G083300","GOHIR.A05G083300","turquoise","1",5.91319874648296,8.40085975523564,3.13503548238283,5.09591540392231,5.76955419564267,7.14055716154158,4.03512925843078,6.8593620568737,5.59770980602349,6.50135222764102,4.42464914888132,6.60073038314879,4.76414179767502,5.67486619581526,7.22931416141234,5.36623856008471,6.16360059215809,3.39259727247032,5.7771482467503,6.42909876234533,6.8688699147855,6.23565417390422,4.30671728749097,4.65471389218693,NA,"A05",8129297,NA,1,"protein_coding","Stress responsive A/B Barrel Domain (Dabb)",NA,1137,318,1137,160,301,2,NA,"List"
"NA__GOHIR.A05G086500","GOHIR.A05G086500","turquoise","1",7.61997547296409,6.89406208425476,4.2891790075307,6.53373441670782,6.39300954584209,7.32277442296677,3.26810619600039,5.54932905039036,6.73727569280721,8.08924480951023,4.25895692487073,8.18517537165044,5.14374936918376,4.16284475288014,8.51334469131912,5.51609301143606,6.41315524464084,3.11175116310498,4.4093350692559,8.10650816402535,7.01592713631835,5.68848238742477,4.23736512307555,4.5131459303441,NA,"A05",8306920,NA,1,"protein_coding","histone H2B (H2B)",NA,698,426,698,58,214,1,NA,"List"
"NA__GOHIR.A05G138100","GOHIR.A05G138100","turquoise","1",4.83666190547717,6.00390033190607,7.95438761209942,7.33823040740445,6.92186509414312,6.13075560963642,8.34985101425839,8.29984810114329,7.58967666907785,7.52044970460777,6.82675019171784,4.87669530292029,9.88768970373003,7.78246879222537,7.45439794413312,6.61004118913068,5.61833775063958,9.04406184098245,7.93951151384422,4.61719712937246,5.29330933933904,6.87012596082076,7.51779282091905,8.19181884226604,NA,"A05",13538653,NA,2,"protein_coding","DNAJ HOMOLOG SUBFAMILY C MEMBER ",NA,2423,660,2423,272,665,6,NA,"List"
"NA__GOHIR.A05G153700","GOHIR.A05G153700","turquoise","1",2.85469414206043,2.22530702499796,2,3.97179550085875,3.46219365635141,4.67091018722623,2,2,4.3750940262865,3.76782593681297,2.66223396262617,5.74495017274106,2,3.04973148124057,6.16610554721219,2.88482181931061,2,2.30125471211252,2.29509157594312,6.55700818451929,4.28069076542929,2.37553156879275,2,2,NA,"A05",15103799,NA,1,"protein_coding",NA,NA,1009,507,1009,184,118,3,NA,"List"
"NA__GOHIR.A05G191600","GOHIR.A05G191600","turquoise","1",6.40663076517941,7.38902616795741,9.36007197810994,8.00724333248442,6.8534364015594,6.18088716210179,9.43086613661386,9.73643765267878,9.35716496397385,9.89683605538304,7.95804870216416,5.87541272639574,6.65512979226603,7.03724159985704,6.26726914438917,8.76917004430889,7.97830179819169,10.4095385254166,9.35119051778559,6.89802681700305,5.8942027775277,8.43179198779301,8.15703273049764,9.25322540041688,NA,"A05",18936758,NA,1,"protein_coding","SEC14 RELATED PROTEIN ",NA,4195,1869,4195,179,377,14,NA,"List"
"NA__GOHIR.A05G212300","GOHIR.A05G212300","turquoise","1",7.53700692695394,6.62431388568278,5.083468309467,5.91893062320879,6.79989702401675,7.59958206623357,4.90282211730128,2,7.04635923778705,7.71651223372027,5.90503788205687,7.07511484407418,6.65512979226603,6.66367409059795,7.53195907257533,5.68386616598425,6.16360059215809,4.95126187637402,3.60533583869366,7.00444400000638,7.5640508838199,6.76362070659792,4.37288795999587,2.66773722629564,NA,"A05",21318819,NA,1,"protein_coding","WRC (WRC) ",NA,4240,1833,4240,483,335,4,NA,"List"
"NA__GOHIR.A05G232900","GOHIR.A05G232900","turquoise","1",4.73522479431998,6.00390033190607,4.10086297294918,5.82288509697574,6.79989702401675,6.16436944627467,5.00760101468355,5.19973345037372,4.69202820991168,3.87682968160896,3.8565437518839,7.6778829321552,6.3996247894392,5.51524680508736,7.50853513898891,5.28503881379777,4.13233107114161,2.30125471211252,4.13895953530986,6.95221638941965,5.58187319294735,5.72137444013409,5.42663994192068,3.46766464473211,NA,"A05",24058555,NA,1,"protein_coding","Flavonol synthase / FLS ",NA,1772,1002,1772,28,282,3,NA,"List"
"NA__GOHIR.A05G237400","GOHIR.A05G237400","turquoise","1",4.8036356967005,6.1620972739809,3.99660535351819,4.61222979547848,5.52752323234878,6.64102076482122,2.64466924019999,5.24835387453887,4.80909208364921,5.17280961073452,3.96814831396196,7.30344925023966,4.83475734180146,3.76885131431433,6.54564873599407,4.13295390112547,4.73127487487708,2,3.49349509290103,5.87723877808063,6.16056420448389,5.12602366595328,3.73209302044089,3.86734593279447,NA,"A05",24592621,NA,1,"protein_coding","G2/MITOTIC-SPECIFIC CYCLIN-B",NA,3638,1470,3638,114,418,11,NA,"List"
"NA__GOHIR.A05G241400","GOHIR.A05G241400","turquoise","1",6.49203158162569,7.7523509412072,4.45572797148468,6.85837227546712,6.96304136737323,6.09633987201953,7.42532068227306,5.14941714476298,7.6273622304841,7.59413877658331,6.27424178974027,6.69797696649937,7.87267084178747,8.08500034948496,6.19574046286659,7.89949470938238,5.86165887801178,4.00676581309357,2.74922408898782,7.4714159655167,4.88589518391315,8.03381701365059,6.79202677789704,6.17542906470764,NA,"A05",25468194,NA,1,"protein_coding","Chalcone and stilbene synthases, N-terminal domain (Chal_sti_synt_N) ",NA,1882,1182,1882,12,572,2,NA,"List"
